Vmax,T,mean_inside,mean_outside,count_inside,count_outside
0.5,0.5,3.66185,47.6405,5277,104547
0.5,1,3.54923,47.5743,5453,104692
0.5,1.5,3.60802,47.6899,5222,104449
0.5,2,3.53813,47.7679,5033,104300
0.5,2.5,3.65682,47.5672,5456,104695
0.5,3,3.48526,47.634,5358,104575
0.5,3.5,3.53804,47.6177,5370,104604
0.5,4,3.4856,47.5815,5459,104683
0.5,4.5,3.49588,47.5481,5505,104752
0.5,5,3.54213,47.6634,5279,104510
1,0.5,1.80506,45.5047,10229,109473
1,1,1.82554,45.4706,10267,109549
1,1.5,1.81697,45.3762,10514,109769
1,2,1.81969,45.5016,10233,109477
1,2.5,1.81736,45.4553,10361,109584
1,3,1.82943,45.4647,10275,109562
1,3.5,1.82251,45.3797,10541,109758
1,4,1.82571,45.474,10288,109540
1,4.5,1.8438,45.4114,10428,109681
1,5,1.7962,45.501,10224,109484
1.5,0.5,1.21585,43.4584,15357,114623
1.5,1,1.22092,43.4735,15335,114582
1.5,1.5,1.21596,43.5477,15139,114394
1.5,2,1.23325,43.4884,15273,114540
1.5,2.5,1.22319,43.4958,15239,114525
1.5,3,1.22519,43.5402,15153,114410
1.5,3.5,1.21481,43.539,15182,114416
1.5,4,1.21886,43.4917,15326,114535
1.5,4.5,1.23973,43.4696,15316,114586
1.5,5,1.23676,43.4493,15378,114639
2,0.5,0.924761,41.7115,20163,119424
2,1,0.927863,41.6983,20174,119460
2,1.5,0.927096,41.6632,20311,119558
2,2,0.925354,41.687,20202,119493
2,2.5,0.926041,41.7931,19944,119195
2,3,0.926265,41.6361,20369,119635
2,3.5,0.920887,41.6985,20218,119462
2,4,0.924537,41.6779,20273,119518
2,4.5,0.933404,41.6248,20457,119662
2,5,0.924167,41.6526,20302,119590
2.5,0.5,0.742919,40.0926,25000,124248
2.5,1,0.747235,39.9725,25406,124611
2.5,1.5,0.743531,40.0761,25046,124298
2.5,2,0.742595,40.0045,25263,124517
2.5,2.5,0.734391,40.0067,25288,124515
2.5,3,0.740084,40.1358,24848,124119
2.5,3.5,0.744605,40.0081,25241,124505
2.5,4,0.741403,39.9809,25332,124590
2.5,4.5,0.741187,39.9945,25311,124548
2.5,5,0.741926,39.9791,25343,124595
3,0.5,0.622537,38.5738,29907,129139
3,1,0.621463,38.4878,30176,129424
3,1.5,0.619808,38.6063,29817,129034
3,2,0.621526,38.4765,30247,129461
3,2.5,0.624497,38.5573,29943,129192
3,3,0.620447,38.4749,30192,129468
3,3.5,0.620131,38.4723,30196,129477
3,4,0.62128,38.6027,29798,129045
3,4.5,0.623552,38.5419,29967,129244
3,5,0.616809,38.5109,30118,129351
3.5,0.5,0.530976,37.0355,35202,134501
3.5,1,0.530448,37.2365,34518,133785
3.5,1.5,0.532517,37.0494,35195,134449
3.5,2,0.531732,37.1025,35013,134260
3.5,2.5,0.531977,37.0926,35063,134295
3.5,3,0.533054,37.0206,35267,134552
3.5,3.5,0.53167,37.027,35276,134530
3.5,4,0.532246,37.123,34900,134187
3.5,4.5,0.532312,37.0678,35094,134384
3.5,5,0.531907,37.1302,34931,134161
4,0.5,0.468864,35.8034,39897,139129
4,1,0.466143,35.8518,39682,138947
4,1.5,0.467208,35.7824,40005,139211
4,2,0.464527,35.8051,39908,139127
4,2.5,0.465561,35.732,40190,139407
4,3,0.468591,35.7992,39880,139146
4,3.5,0.463206,35.7467,40124,139353
4,4,0.46443,35.8175,39843,139080
4,4.5,0.462578,35.7388,40169,139384
4,5,0.464675,35.8695,39611,138881
4.5,0.5,0.413548,34.6414,44547,143804
4.5,1,0.415633,34.4122,45487,144748
4.5,1.5,0.414575,34.5027,45124,144374
4.5,2,0.414183,34.4962,45180,144401
4.5,2.5,0.413978,34.6384,44551,143816
4.5,3,0.414591,34.5154,45031,144322
4.5,3.5,0.416978,34.4798,45193,144466
4.5,4,0.415701,34.5251,45012,144280
4.5,4.5,0.41443,34.505,45104,144365
4.5,5,0.412949,34.6083,44684,143941
5,0.5,0.373901,33.3755,50033,149250
5,1,0.374675,33.4668,49556,148847
5,1.5,0.372131,33.3372,50146,149423
5,2,0.375083,33.4763,49574,148804
5,2.5,0.373482,33.3601,50063,149319
5,3,0.376079,33.4539,49667,148901
5,3.5,0.372675,33.324,50259,149480
5,4,0.373388,33.35,50119,149364
5,4.5,0.373314,33.4235,49809,149039
5,5,0.374998,33.3397,50162,149407
